Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,1813.86
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,592.17
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,621.36
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,605.25
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,602.96
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,518.39
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,605.25
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,544.72
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,617.27
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,605.25
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,630.07
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,609.89
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,550.28
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,502.26
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,597.36
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,605.25
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Middlepatch Limited T/A College Fields Nursing Home,605.25
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Northcote Developments Limited,518.88
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Northcote Developments Limited,505.50
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Northcote Developments Limited,524.03
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Northcote Developments Limited,515.73
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Oakville Care Limited t/a Romilly Nursing Home,900.00
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Springbank Care Home Limited T/A Springbank Nursing Home,603.33
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Springbank Care Home Limited T/A Springbank Nursing Home,629.38
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Springbank Care Home Limited T/A Springbank Nursing Home,556.38
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,Springbank Care Home Limited T/A Springbank Nursing Home,666.50
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Oct-2018,215489,The Royal Masonic Benevolent Institution Care Company T/A Albert Edward Prince of Wales Court,2716.74
